Result Log

problem file path: problems/d2.lup
solution file path: solutions/d2-100-50-fps-plus-trunc-4obj.txt
random seed: 1602437534166
search strategy: moea
number of runs per experiment: 30
num_fitness_evals_per_run: 10000
fitness function: 4_obj
fitness sharing: False
crowding: False
initialization method: validity_forced
mu: 100
lambda: 50
p_c: 1.0
p_mchild: 0.7
p_m: 0.005
mutation rate strategy: fixed
parent selection method: fitness_proportional_selection
survival strategy: plus
survival selection method: truncation
termination method: number_of_evals

Run 1
7300	112.27	161.0	-4.08	0.0	-19.47	-13.0	-16.42	-1.0
7350	111.88	161.0	-3.96	0.0	-19.54	-13.0	-16.27	-1.0
7400	110.09	161.0	-3.82	0.0	-19.68	-13.0	-15.91	-1.0
7450	113.83	161.0	-4.1	0.0	-19.39	-13.0	-16.61	-1.0
7500	113.83	161.0	-4.1	0.0	-19.39	-13.0	-16.61	-1.0
7550	115.86	161.0	-4.18	0.0	-19.23	-13.0	-16.95	-1.0
7600	114.92	161.0	-4.16	0.0	-19.33	-13.0	-16.75	-1.0
7650	115.02	161.0	-4.08	0.0	-19.43	-13.0	-16.68	-1.0
7700	114.58	161.0	-4.08	0.0	-19.41	-13.0	-16.64	-1.0
7750	114.87	161.0	-4.15	0.0	-19.37	-13.0	-16.69	-1.0
7800	114.19	161.0	-4.13	0.0	-19.4	-13.0	-16.59	-1.0
7850	113.07	161.0	-3.99	0.0	-19.36	-13.0	-16.41	-1.0
7900	113.48	161.0	-4.25	0.0	-19.34	-13.0	-16.51	-1.0
7950	112.57	161.0	-4.18	0.0	-19.41	-13.0	-16.32	-1.0
8000	111.34	161.0	-4.16	0.0	-19.55	-13.0	-16.15	-1.0
8050	111.34	161.0	-4.16	0.0	-19.55	-13.0	-16.15	-1.0
8100	109.79	161.0	-3.94	0.0	-19.93	-13.0	-15.66	-1.0
8150	110.2	161.0	-3.79	0.0	-19.9	-13.0	-15.62	-1.0
8200	110.8	161.0	-3.83	0.0	-19.83	-13.0	-15.74	-1.0
8250	111.5	161.0	-3.78	0.0	-19.74	-13.0	-15.77	-1.0
8300	113.38	161.0	-3.88	0.0	-19.61	-13.0	-16.11	-1.0
8350	113.46	161.0	-3.88	0.0	-19.63	-13.0	-16.09	-1.0
8400	113.85	161.0	-3.92	0.0	-19.64	-13.0	-16.17	-1.0
8450	115.89	161.0	-4.03	0.0	-19.6	-13.0	-16.53	-1.0
8500	115.89	161.0	-4.03	0.0	-19.6	-13.0	-16.53	-1.0
8550	114.55	161.0	-3.72	0.0	-19.75	-13.0	-16.08	-1.0
8600	115.32	161.0	-4.26	0.0	-19.38	-11.0	-16.64	-1.0
8650	116.66	161.0	-4.37	0.0	-19.2	-11.0	-17.01	-1.0
8700	117.02	161.0	-4.43	0.0	-19.16	-11.0	-17.11	-1.0
8750	116.93	161.0	-4.47	0.0	-19.12	-11.0	-17.12	-1.0
8800	116.54	161.0	-4.45	0.0	-19.13	-11.0	-17.04	-1.0
8850	116.05	161.0	-4.31	0.0	-19.15	-11.0	-16.9	-1.0
8900	116.41	161.0	-4.41	0.0	-19.08	-11.0	-17.05	-1.0
8950	115.91	161.0	-4.41	0.0	-19.07	-11.0	-16.99	-1.0
9000	116.37	161.0	-4.43	0.0	-19.02	-11.0	-17.11	-1.0
9050	115.29	161.0	-4.26	0.0	-19.17	-11.0	-16.75	-1.0
9100	115.29	161.0	-4.26	0.0	-19.17	-11.0	-16.75	-1.0
9150	115.06	161.0	-4.14	0.0	-19.33	-11.0	-16.6	-1.0
9200	113.89	161.0	-4.0	0.0	-19.46	-11.0	-16.3	-1.0
9250	112.6	161.0	-3.86	0.0	-19.55	-11.0	-15.91	-1.0
9300	112.6	161.0	-3.86	0.0	-19.55	-11.0	-15.91	-1.0
9350	112.6	161.0	-3.84	0.0	-19.55	-11.0	-15.91	-1.0
9400	112.6	161.0	-3.84	0.0	-19.55	-11.0	-15.91	-1.0
9450	112.74	161.0	-3.85	0.0	-19.71	-11.0	-15.82	-1.0
9500	112.74	161.0	-3.85	0.0	-19.71	-11.0	-15.82	-1.0
9550	112.49	161.0	-3.85	0.0	-19.76	-11.0	-15.74	-1.0
9600	113.84	161.0	-4.06	0.0	-19.54	-11.0	-16.14	-1.0
9650	112.88	161.0	-4.0	0.0	-19.66	-11.0	-15.99	-1.0
9700	112.96	161.0	-3.98	0.0	-19.66	-11.0	-15.99	-1.0
9750	112.25	161.0	-4.04	0.0	-19.62	-11.0	-15.99	-1.0
9800	111.33	161.0	-3.96	0.0	-19.84	-11.0	-15.72	-1.0
9850	112.23	161.0	-4.06	0.0	-19.7	-11.0	-15.94	-1.0
9900	112.17	161.0	-3.99	0.0	-19.82	-11.0	-15.85	-1.0
9950	112.71	161.0	-4.03	0.0	-19.74	-11.0	-15.98	-1.0
10000	112.74	161.0	-4.03	0.0	-19.73	-11.0	-15.98	-1.0

Run 2
100	146.46	161.0	-83.91	0.0	-38.96	-18.0	-86.55	-5.0
150	139.91	161.0	-53.62	0.0	-31.09	-18.0	-57.79	-5.0
200	129.62	161.0	-39.16	0.0	-28.51	-18.0	-44.26	-5.0
250	123.31	161.0	-32.43	0.0	-26.98	-18.0	-37.95	-5.0
300	124.37	161.0	-31.71	0.0	-26.59	-18.0	-37.4	-5.0
350	122.76	161.0	-30.11	0.0	-26.07	-18.0	-35.96	-5.0
400	118.63	161.0	-25.28	0.0	-25.42	-18.0	-31.65	-5.0
450	119.62	161.0	-24.4	0.0	-25.15	-18.0	-31.03	-5.0
500	121.36	161.0	-24.47	0.0	-24.78	-18.0	-31.2	-5.0
550	114.27	161.0	-20.35	0.0	-24.5	-18.0	-27.36	-5.0
600	115.7	161.0	-18.99	0.0	-23.94	-17.0	-26.35	-5.0
650	116.2	161.0	-18.69	0.0	-23.74	-17.0	-26.3	-5.0
700	117.21	161.0	-18.99	0.0	-23.9	-17.0	-26.68	-5.0
750	113.2	161.0	-15.85	0.0	-23.43	-17.0	-23.68	-5.0
800	114.23	161.0	-16.2	0.0	-23.21	-17.0	-24.07	-5.0
850	114.84	161.0	-16.67	0.0	-23.01	-17.0	-24.45	-5.0
900	113.26	161.0	-15.97	0.0	-23.25	-17.0	-23.74	-5.0
950	113.47	161.0	-15.72	0.0	-23.04	-17.0	-23.56	-5.0
1000	112.4	161.0	-14.91	0.0	-22.88	-17.0	-22.77	-5.0
1050	112.8	161.0	-15.37	0.0	-22.74	-17.0	-23.19	-5.0
1100	114.37	161.0	-15.22	0.0	-22.63	-17.0	-23.3	-5.0
1150	114.12	161.0	-14.67	0.0	-22.51	-17.0	-22.86	-5.0
1200	115.03	161.0	-15.06	0.0	-22.12	-17.0	-23.23	-5.0
1250	115.25	161.0	-15.15	0.0	-22.12	-17.0	-23.3	-5.0
1300	115.17	161.0	-15.34	0.0	-21.99	-17.0	-23.47	-5.0
1350	116.69	161.0	-14.98	0.0	-22.26	-17.0	-23.49	-5.0
1400	116.9	161.0	-15.19	0.0	-22.22	-17.0	-23.66	-5.0
1450	117.09	161.0	-15.67	0.0	-22.05	-17.0	-24.05	-5.0
1500	116.86	161.0	-15.13	0.0	-22.3	-17.0	-23.61	-5.0
1550	116.1	161.0	-14.35	0.0	-22.33	-17.0	-23.01	-5.0
1600	116.8	161.0	-14.12	0.0	-22.13	-16.0	-22.9	-5.0
